Which faculty are you currently enrolled in?,Study Groups and Peer Discussions interest ratings,Academic Workshops  interest ratings,Are you currently a member of any university club or society?,Tech Meetups & Hackathons  interest ratings,Business Idea competition?   interest ratings,A workshop on Mental Health & Stress Management?  interest ratings, What type of academic content are you most interested in? 
Faculty of Applied Sciences,4,3,Yes,3,3,4,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,3,3,Yes,3,3,4,"Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,3,3,Yes,3,3,5,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Applied Sciences,4,3,Yes,3,3,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Applied Sciences,2,1,No,1,1,3,"Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,5,5,Yes,5,5,4,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,1,2,Yes,2,3,5,"Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,4,4,Yes,5,5,4,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,5,5,Yes,4,5,5,"Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,3,2,No,1,1,1,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Applied Sciences,3,3,Yes,3,3,2,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Applied Sciences,3,5,Yes,3,3,3,"Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,1,1,Yes,1,2,3,"Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Medicine and Allied Sciences,2,5,No,5,1,5,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,4,5,Yes,5,2,5,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,4,4,Yes,4,3,4,"Business & Management (e.g., finance, marketing, project management)"
Faculty of Social Sciences and Humanities,2,4,Yes,3,3,4,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills)"
Faculty of Management Studies,5,5,Yes,5,5,5,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,4,4,Yes,4,5,5,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Business & Management (e.g., finance, marketing, project management)"
Faculty of Applied Sciences,2,3,Yes,3,3,3,"Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,5,5,Yes,5,5,4,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Applied Sciences,1,5,Yes,3,1,5,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,4,4,Yes,4,1,3,"Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,2,3,Yes,3,3,3,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,4,3,Yes,4,2,5,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,5,3,No,3,2,2,"Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Applied Sciences,5,3,No,4,3,1,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Applied Sciences,2,3,Yes,4,3,1,"Research & Academic Writing (e.g., literature reviews, paper writing), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,5,3,No,5,5,3,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Management Studies,5,4,No,4,3,4,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,4,3,Yes,1,4,4,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Applied Sciences,4,4,No,5,5,5,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Medicine and Allied Sciences,3,3,Yes,2,4,1,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Social Sciences and Humanities,3,3,No,3,2,1,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,2,4,Yes,3,3,5,"Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,3,3,Yes,4,3,4,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Business & Management (e.g., finance, marketing, project management)"
Faculty of Technology,5,3,No,5,3,4,"Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Technology,1,4,Yes,5,1,3,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills)"
Faculty of Technology,2,3,Yes,5,4,2,"Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Medicine and Allied Sciences,4,4,No,5,5,4,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Social Sciences and Humanities,4,5,Yes,4,5,4,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Medicine and Allied Sciences,4,2,No,3,3,1,"Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,4,3,Yes,4,5,5,"Research & Academic Writing (e.g., literature reviews, paper writing), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,3,3,Yes,1,3,3,"Business & Management (e.g., finance, marketing, project management)"
Faculty of Applied Sciences,2,2,Yes,5,4,1,"Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management)"
Faculty of Medicine and Allied Sciences,4,5,Yes,3,4,3,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Technology,4,5,Yes,1,1,3,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Medicine and Allied Sciences,3,3,Yes,4,3,1,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Technology,5,5,Yes,1,5,1,"Research & Academic Writing (e.g., literature reviews, paper writing), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Applied Sciences,1,3,Yes,3,2,2,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management)"
Faculty of Agriculture,1,3,Yes,2,2,5,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Applied Sciences,5,5,Yes,5,5,5,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Research & Academic Writing (e.g., literature reviews, paper writing), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,4,4,Yes,4,4,4,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Applied Sciences,4,3,Yes,2,4,3,"Business & Management (e.g., finance, marketing, project management)"
Faculty of Applied Sciences,2,2,Yes,1,1,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Social Sciences and Humanities,1,1,Yes,3,1,1,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Medicine and Allied Sciences,1,1,No,2,2,1,"Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,5,5,No,1,1,5,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Social Sciences and Humanities,5,5,Yes,5,3,4,"Business & Management (e.g., finance, marketing, project management), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Applied Sciences,2,3,No,1,1,2,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Agriculture,3,4,Yes,3,2,3,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills)"
Faculty of Agriculture,3,3,Yes,1,1,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Agriculture,3,4,Yes,1,1,2,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Agriculture,2,2,Yes,1,1,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Agriculture,3,2,No,1,1,2,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Agriculture,2,2,Yes,1,2,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Agriculture,2,3,No,1,1,2,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Agriculture,3,3,No,1,1,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Agriculture,2,3,Yes,4,3,2,"Research & Academic Writing (e.g., literature reviews, paper writing), Business & Management (e.g., finance, marketing, project management), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Agriculture,3,3,No,3,4,3,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Technology,2,3,No,2,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Agriculture,3,4,Yes,5,4,1,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management)"
Faculty of Agriculture,3,3,Yes,1,1,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Technology,2,2,Yes,2,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Technology,3,3,No,5,2,2,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills)"
Faculty of Technology,1,4,Yes,5,2,3,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills)"
Faculty of Social Sciences and Humanities,4,3,No,5,4,1,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Social Sciences and Humanities,2,2,Yes,1,2,2,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Technology,3,2,Yes,1,3,4,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Social Sciences and Humanities,4,2,No,1,2,2,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,3,2,Yes,1,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,3,3,Yes,1,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,3,3,No,1,4,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,4,4,No,4,4,4,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Technology,2,4,Yes,2,3,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,4,3,Yes,5,4,2,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Data Analysis & Statistics (e.g., SPSS, R, data interpretation)"
Faculty of Agriculture,4,3,No,1,3,4,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,2,3,Yes,1,2,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Social Sciences and Humanities,3,3,Yes,3,3,5,"Business & Management (e.g., finance, marketing, project management)"
Faculty of Social Sciences and Humanities,4,3,No,1,3,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Technology,4,3,Yes,1,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Social Sciences and Humanities,4,5,Yes,5,4,3,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills), Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Management Studies,4,3,Yes,1,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Agriculture,5,3,Yes,4,3,3,"Data Analysis & Statistics (e.g., SPSS, R, data interpretation), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Social Sciences and Humanities,2,3,Yes,1,2,2,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Social Sciences and Humanities,3,4,Yes,1,2,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Technology,3,4,Yes,1,4,4,"Research & Academic Writing (e.g., literature reviews, paper writing), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,4,2,Yes,4,4,2,"Practical & Technical Skills (e.g., coding, lab experiments, clinical skills)"
Faculty of Agriculture,2,4,No,1,3,3,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,2,2,Yes,1,1,1,"Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Social Sciences and Humanities,1,4,Yes,1,3,2,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Management Studies,3,3,Yes,1,1,2,"Research & Academic Writing (e.g., literature reviews, paper writing)"
Faculty of Management Studies,4,3,Yes,2,4,3,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,3,3,Yes,1,4,3,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,2,3,Yes,3,3,3,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
Faculty of Management Studies,3,3,Yes,4,3,3,"Research & Academic Writing (e.g., literature reviews, paper writing), Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation)"
Faculty of Management Studies,2,4,Yes,4,3,3,"Business & Management (e.g., finance, marketing, project management), Communication & Leadership (e.g., public speaking, teamwork, negotiation), Creative & Critical Thinking (e.g., problem-solving, design thinking)"
